Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,China,Homo sapiens,,2019-12
MT506199,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-10
MT506200,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens,,2020-03-13
MT506201,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,USA: Michigan,Homo sapiens,,2020-03-14
MT506202,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-03-13
MT506203,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,USA: Michigan,Homo sapiens,,2020-03-14
MT506204,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens,,2020-03-14
MT506205,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29809,USA: Michigan,Homo sapiens,,2020-03-14
MT506206,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA: Michigan,Homo sapiens,,2020-03-14
MT506207,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA: Michigan,Homo sapiens,,2020-03-15
MT506208,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29770,USA: Michigan,Homo sapiens,,2020-03-13
MT506209,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens,,2020-03-15
MT506210,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29793,USA: Ohio,Homo sapiens,,2020-03-13
MT506211,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29793,USA: Michigan,Homo sapiens,,2020-03-16
MT506212,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29787,USA: Michigan,Homo sapiens,,2020-03-17
MT506213,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,USA: Michigan,Homo sapiens,,2020-03-17
MT506214,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens,,2020-03-23
MT506215,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,USA: Michigan,Homo sapiens,,2020-03-24
MT506216,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens,,2020-03-15
MT506217,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-25
MT506218,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29681,USA: Michigan,Homo sapiens,,2020-03-24
MT506219,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-23
MT506220,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-24
MT506221,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,USA: Michigan,Homo sapiens,,2020-03-25
MT506222,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: Michigan,Homo sapiens,,2020-03-24
MT506223,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,USA: Michigan,Homo sapiens,,2020-03-25
MT506224,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-24
MT506225,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-24
MT506226,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-25
MT506227,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens,,2020-03-26
MT506228,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-27
MT506229,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-04-30
MT506526,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-13
